Datetime,Up_Vote,Down_Vote,Direction_Confidence,Weighted_Price,Model_Count,Total_Votes,Direction,Pct_Change
2025-03-27 00:00:00+00:00,1,4,0.8,224.9854821346718,5,5,DOWN,-1.4184007442111457
2025-03-28 00:00:00+00:00,3,2,0.6,226.09264802538692,5,5,UP,-0.9332752902815211
2025-03-29 00:00:00+00:00,2,3,0.6,226.48906274668366,5,5,DOWN,-0.7595787618513983
2025-03-30 00:00:00+00:00,2,3,0.6,226.7140713185413,5,5,DOWN,-0.6609870454014066
2025-03-31 00:00:00+00:00,3,2,0.6,226.8847732193505,5,5,UP,-0.5861908131373994
2025-04-01 00:00:00+00:00,4,1,0.8,226.7821619490704,5,5,UP,-0.6311518614232847
2025-04-02 00:00:00+00:00,3,2,0.6,226.56405306933803,5,5,UP,-0.7267203486514329
2025-04-03 00:00:00+00:00,4,1,0.8,226.52488400255234,5,5,UP,-0.7438830082526326
2025-04-04 00:00:00+00:00,2,3,0.6,226.43006216854332,5,5,DOWN,-0.7854309692689854
2025-04-05 00:00:00+00:00,0,1,1.0,226.42496840741188,5,1,DOWN,-0.7876628960306609
2025-04-06 00:00:00+00:00,0,1,1.0,226.5655020489215,5,1,DOWN,-0.7260854511314974
2025-04-07 00:00:00+00:00,0,1,1.0,226.51856250669158,5,1,DOWN,-0.7466528899611302
2025-04-08 00:00:00+00:00,0,1,1.0,219.3879954577557,1,1,DOWN,-3.871044280086311
2025-04-09 00:00:00+00:00,0,1,1.0,219.43412105379443,1,1,DOWN,-3.8508334870120953
2025-04-10 00:00:00+00:00,1,0,1.0,219.43520752393667,1,1,UP,-3.850357429787654
2025-04-11 00:00:00+00:00,0,1,1.0,219.43513070281554,1,1,DOWN,-3.850391090399463
2025-04-12 00:00:00+00:00,0,1,1.0,219.43509777947787,1,1,DOWN,-3.8504055163759765
2025-04-13 00:00:00+00:00,0,0,0.0,219.43510875392377,1,0,DOWN,-3.8504007077171387
2025-04-14 00:00:00+00:00,0,0,0.0,219.43513070281554,1,0,DOWN,-3.850391090399463
2025-04-15 00:00:00+00:00,0,0,0.0,219.43514167726138,1,0,DOWN,-3.8503862817406476
2025-04-16 00:00:00+00:00,0,0,0.0,219.43517460059903,1,0,DOWN,-3.8503718557641564
2025-04-17 00:00:00+00:00,0,0,0.0,219.43516362615316,1,0,DOWN,-3.850376664422983
2025-04-18 00:00:00+00:00,0,0,0.0,219.4351855750449,1,0,DOWN,-3.8503670471053186
2025-04-19 00:00:00+00:00,0,0,0.0,219.4351855750449,1,0,DOWN,-3.8503670471053186
