iteration,file,final_price,predicted_change,up_votes,down_votes,neutral_votes
1,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184225.csv,206.11,-6.96,53.7,33.3,13.0
2,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184228.csv,206.11,-6.96,53.7,33.3,13.0
3,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184231.csv,206.11,-6.96,53.7,33.3,13.0
4,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184234.csv,206.11,-6.96,53.7,33.3,13.0
5,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184236.csv,206.11,-6.96,53.7,33.3,13.0
6,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184239.csv,206.11,-6.96,53.7,33.3,13.0
7,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184242.csv,206.11,-6.96,53.7,33.3,13.0
8,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184245.csv,206.11,-6.96,53.7,33.3,13.0
9,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184248.csv,206.11,-6.96,53.7,33.3,13.0
10,outputs/normalized_ensemble\AAPL_normalized_ensemble_20250326_184251.csv,206.11,-6.96,53.7,33.3,13.0
